@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
89,'2019/01/23 12:03:05:755',1,0.675048,-0.152341,0.465522,0.163609,0.430712,0.269081,0.249359,0.312383,0.167706,0.277693,0.411057,0.304636,0.214542,732.128906,0.002784,0.009867,1
90,'2019/01/23 12:03:05:771',1,0.764309,0.040394,0.467166,0.187171,0.301984,0.192086,0.25102,0.354898,0.288088,0.287691,0.371653,0.081069,0.161243,301.464844,0.002844,0.009562,1
91,'2019/01/23 12:03:05:788',1,0.851468,0.259648,0.558379,0.074816,0.108065,0.276132,0.334231,0.42904,0.137562,0.119332,0.278562,0.338486,0.265959,258.398438,0.002775,0.013027,1
92,'2019/01/23 12:03:05:804',1,0.865917,0.123491,0.59001,0.300881,0.380945,0.278469,0.212723,0.126581,-0.015832,0.099143,0.223987,0.299938,0.392788,172.265625,0.002939,0.011845,1
93,'2019/01/23 12:03:05:822',1,0.91327,0.184784,0.657409,0.197466,0.352844,0.239253,0.145207,0.079456,0.095914,0.082231,0.326241,0.262996,0.338427,172.265625,0.003166,0.012328,1
94,'2019/01/23 12:03:05:838',1,0.782796,0.109645,0.453857,0.110862,0.134608,0.317,0.130723,0.205326,0.140116,0.062734,0.380721,0.259273,0.248837,172.265625,0.002802,0.009848,1
95,'2019/01/23 12:03:05:855',1,0.76065,0.127725,0.62418,0.280056,0.120637,0.348131,0.272422,0.178232,0.156746,0.176121,0.315072,0.124285,0.134033,129.199219,0.002937,0.010555,1
96,'2019/01/23 12:03:05:871',1,0.787884,0.07735,0.561042,0.112489,0.331544,0.337521,0.212511,0.140511,0.173885,0.26361,0.30023,0.292955,0.271361,172.265625,0.002953,0.009523,1
97,'2019/01/23 12:03:05:888',1,0.820184,0.150731,0.5224,0.189483,0.114964,0.194771,0.153875,0.019664,0.278559,0.281369,0.304397,0.185241,0.330296,172.265625,0.002965,0.009698,1
98,'2019/01/23 12:03:05:905',1,0.886088,0.290529,0.74368,0.259239,0.178672,0.066346,0.175128,0.136434,0.09617,0.155279,0.345408,0.196844,0.328906,172.265625,0.003345,0.014806,1
99,'2019/01/23 12:03:05:921',1,0.916711,0.22685,0.487058,0.160303,0.449447,0.431315,0.200816,0.105176,0.113038,0.197084,0.225976,0.127606,0.153633,86.132813,0.003346,0.014826,1
100,'2019/01/23 12:03:05:938',1,0.830718,0.278205,0.58784,0.176011,0.278324,0.297984,0.322178,0.177398,0.193155,0.088295,0.163911,0.101614,0.201147,129.199219,0.002967,0.012743,1
101,'2019/01/23 12:03:05:954',1,0.990353,0.194222,0.412792,0.153208,0.178604,-0.027941,0.067987,0.166053,0.305349,0.422925,0.482074,0.243712,0.179809,258.398438,0.004477,0.024312,1
102,'2019/01/23 12:03:05:971',1,0.921109,0.215267,0.455569,0.136063,0.235093,0.050763,0.043504,0.148281,0.20172,0.21722,0.324014,0.243591,0.318831,215.332031,0.003862,0.018279,1
103,'2019/01/23 12:03:05:987',1,0.905664,0.091493,0.589922,0.131716,0.241818,0.254456,0.07872,0.072432,0.19383,0.229209,0.384908,0.234761,0.218119,172.265625,0.003708,0.01294,1
104,'2019/01/23 12:03:06:005',1,0.734925,0.15208,0.684119,0.231366,0.202509,0.188267,0.020789,0.037594,0.136779,0.231636,0.432698,0.277452,0.189918,172.265625,0.003988,0.014646,1
105,'2019/01/23 12:03:06:021',1,0.81724,0.207612,0.560826,0.232917,0.117425,0.008651,0.021899,0.169251,0.201605,0.237836,0.344477,0.303705,0.18478,215.332031,0.003519,0.015029,1
106,'2019/01/23 12:03:06:038',1,0.805989,0.154526,0.525034,0.16868,0.210693,0.41564,0.285176,0.167528,0.129041,0.277506,0.377765,0.275535,0.087261,86.132813,0.00326,0.010907,1
107,'2019/01/23 12:03:06:054',1,0.710487,0.022284,0.409388,0.39736,0.338638,0.221433,0.24859,0.222039,0.161499,0.167024,0.221584,0.213794,0.260324,129.199219,0.003001,0.010037,1
108,'2019/01/23 12:03:06:071',1,0.788756,0.245918,0.63021,0.401174,0.234286,0.105865,0.076528,0.129717,0.100547,0.157772,0.26365,0.255964,0.391736,172.265625,0.002953,0.010947,1
109,'2019/01/23 12:03:06:088',1,0.850628,0.341434,0.61713,0.298586,0.284031,0.184442,0.137127,0.187551,0.143187,0.114756,0.314856,0.258715,0.334491,129.199219,0.003022,0.012504,1
110,'2019/01/23 12:03:06:104',1,0.706919,0.195489,0.646533,0.286843,0.32307,0.297334,0.24057,0.22846,0.188507,0.134326,0.218474,0.149255,0.297629,129.199219,0.002706,0.01009,1
111,'2019/01/23 12:03:06:121',1,0.839994,0.156161,0.536347,0.335674,0.28286,0.211217,0.249115,0.30737,0.233121,0.169672,0.155774,0.1357,0.290207,129.199219,0.002798,0.012897,1
112,'2019/01/23 12:03:06:138',1,0.756806,0.189501,0.573709,0.205061,0.256089,0.288854,0.260809,0.053348,0.129842,0.192712,0.344523,0.273579,0.304893,172.265625,0.002509,0.008187,1
113,'2019/01/23 12:03:06:154',1,0.85161,0.146849,0.447326,0.178465,0.192746,0.180477,0.257848,0.250285,0.143513,0.13949,0.421965,0.330432,0.188525,129.199219,0.003174,0.01007,1
114,'2019/01/23 12:03:06:171',1,0.907753,0.300587,0.616694,0.124674,0.010847,0.103555,0.356623,0.276732,0.099663,0.173478,0.290425,0.303873,0.355134,215.332031,0.002886,0.013019,1
115,'2019/01/23 12:03:06:188',1,0.775216,0.021465,0.554349,0.235197,0.174959,0.210872,0.261523,0.202233,0.166828,0.22924,0.37271,0.310369,0.3616,215.332031,0.002786,0.010287,1
116,'2019/01/23 12:03:06:205',1,0.853629,0.428306,0.598532,0.156283,0.280327,0.166377,0.20911,0.162224,0.216941,0.04352,0.197974,0.251954,0.239734,129.199219,0.002926,0.01227,1
117,'2019/01/23 12:03:06:221',1,0.650597,-0.015428,0.60495,0.242071,0.263086,0.346126,0.371073,0.198236,0.159217,0.109051,0.337679,0.282578,0.226937,2024.121094,0.00272,0.00911,1
118,'2019/01/23 12:03:06:238',1,0.887789,0.204657,0.525002,0.253623,0.26523,0.305167,0.175147,0.136974,0.156415,0.078752,0.240703,0.185275,0.231123,172.265625,0.003178,0.01334,1
119,'2019/01/23 12:03:06:254',1,0.727738,0.114085,0.50848,0.260464,0.3241,0.155832,-0.071483,0.077,0.17977,0.36326,0.418408,0.334293,0.315146,215.332031,0.002353,0.010584,1
120,'2019/01/23 12:03:06:272',1,0.888128,0.16539,0.461514,0.169588,0.218405,0.069922,-0.046871,0.305859,0.313176,0.192134,0.217121,0.157279,0.374662,215.332031,0.003092,0.01087,1
121,'2019/01/23 12:03:06:288',1,0.819073,0.233275,0.695084,0.254605,0.066145,0.099043,0.300642,0.268196,0.156351,0.288333,0.307266,0.210934,0.166392,129.199219,0.00289,0.010986,1
122,'2019/01/23 12:03:06:305',1,0.805532,0.010285,0.426023,0.22489,0.31098,0.292834,0.189822,0.131719,0.247823,0.297012,0.398858,0.235534,0.193939,129.199219,0.002631,0.010439,1
123,'2019/01/23 12:03:06:321',1,0.776325,0.207409,0.696974,0.194791,0.253593,0.130851,0.084214,0.14595,0.181014,0.303935,0.257177,0.129226,0.279168,172.265625,0.003564,0.011948,1
124,'2019/01/23 12:03:06:338',1,0.904566,0.387566,0.652192,0.144295,0.248659,0.208714,0.104036,-0.038379,0.036206,0.295144,0.333207,0.257933,0.343093,172.265625,0.003598,0.01484,1
